Dump,Camera,Date,Time,Deer,Shooter,Notes
11/7/20,m_island,10/30/20,9:42,4x4,N,-
11/7/20,m_island,11/1/20,13:18,1x1,N,-
11/7/20,m_island,11/6/20,8:30,3x3,N,-
11/7/20,dino_rub,10/30/20,9:12,5x5a;3x2,Y,Hash Slinging Slasher
11/7/20,dino_rub,11/1/20,3:12,3x2,N,-
11/7/20,dino_rub,11/1/20,9:10,D,N,-
11/7/20,dino_rub,11/2/20,9:27,"D,D,D",N,-
11/7/20,dino_rub,11/4/20,18:11,D,N,-
11/7/20,dino_rub,11/5/20,4:02,3x3,N,-
11/7/20,dino_rub,11/5/20,6:32,4x4,Y,-
11/7/20,dino_rub,11/6/20,2:52,5x4,Y,-
11/7/20,dino_rub,11/6/20,3:28,4x4,Y,-
11/7/20,dino_rub,11/6/20,6:01,4x4,Y,-
11/7/20,dino_rub,11/6/20,20:54,D,N,-
11/7/20,creek_split,10/29/20,7:30,4x4;3x2,Y,-
11/7/20,creek_split,10/29/20,18:07,3x3,N,-
11/7/20,creek_split,10/30/20,23:03,D,N,-
11/7/20,creek_split,10/31/20,20:04,D,N,-
11/7/20,creek_split,11/1/20,4:56,D,N,-
11/7/20,creek_split,11/1/20,8:26,D;D,N,-
11/7/20,creek_split,11/1/20,21:03,D,N,-
11/7/20,creek_split,11/2/20,8:04,D,N,-
11/7/20,creek_split,11/3/20,1:35,3x3,N,-
11/7/20,creek_split,11/3/20,10:04,D,N,-
11/7/20,creek_split,11/3/20,20:00,3x3,N,-
11/7/20,creek_split,11/3/20,22:48,4x4,Y,-
11/7/20,creek_split,11/5/20,6:16,2x1,N,-
11/7/20,creek_split,1/6/20,20:31,D,N,-
11/7/20,creek_split,11/7/20,3:52,5x4,Y,-
11/7/20,creek_split,11/7/20,5:08,D;D,N,-
11/7/20,creek_split,11/7/20,11:58,3x1,N,-